canopy_threshold,current_state,next_state,transition,count,current_state_total,transition_rate_within_current_state,transition_rate_overall,zero_to_zero_persistence_rate,nonzero_to_zero_transition_rate,current_zero_count,current_nonzero_count,current_zero_next_nonzero_count,current_nonzero_next_zero_count,current_nonzero_next_nonzero_count
0.0,current_zero,next_zero,current_zero -> next_zero,1,7,0.14285714285714285,0.0005555555555555556,0.14285714285714285,0.0033463469046291134,7,1793,6,6,1787
0.0,current_zero,next_nonzero,current_zero -> next_nonzero,6,7,0.8571428571428571,0.0033333333333333335,0.14285714285714285,0.0033463469046291134,7,1793,6,6,1787
0.0,current_nonzero,next_zero,current_nonzero -> next_zero,6,1793,0.0033463469046291134,0.0033333333333333335,0.14285714285714285,0.0033463469046291134,7,1793,6,6,1787
0.0,current_nonzero,next_nonzero,current_nonzero -> next_nonzero,1787,1793,0.9966536530953709,0.9927777777777778,0.14285714285714285,0.0033463469046291134,7,1793,6,6,1787
0.01,current_zero,next_zero,current_zero -> next_zero,177,281,0.6298932384341637,0.09833333333333333,0.6298932384341637,0.07899934167215274,281,1519,104,120,1399
0.01,current_zero,next_nonzero,current_zero -> next_nonzero,104,281,0.3701067615658363,0.057777777777777775,0.6298932384341637,0.07899934167215274,281,1519,104,120,1399
0.01,current_nonzero,next_zero,current_nonzero -> next_zero,120,1519,0.07899934167215274,0.06666666666666667,0.6298932384341637,0.07899934167215274,281,1519,104,120,1399
0.01,current_nonzero,next_nonzero,current_nonzero -> next_nonzero,1399,1519,0.9210006583278473,0.7772222222222223,0.6298932384341637,0.07899934167215274,281,1519,104,120,1399
0.05,current_zero,next_zero,current_zero -> next_zero,429,641,0.6692667706708268,0.23833333333333334,0.6692667706708268,0.1898188093183779,641,1159,212,220,939
0.05,current_zero,next_nonzero,current_zero -> next_nonzero,212,641,0.33073322932917315,0.11777777777777777,0.6692667706708268,0.1898188093183779,641,1159,212,220,939
0.05,current_nonzero,next_zero,current_nonzero -> next_zero,220,1159,0.1898188093183779,0.12222222222222222,0.6692667706708268,0.1898188093183779,641,1159,212,220,939
0.05,current_nonzero,next_nonzero,current_nonzero -> next_nonzero,939,1159,0.8101811906816221,0.5216666666666666,0.6692667706708268,0.1898188093183779,641,1159,212,220,939
0.1,current_zero,next_zero,current_zero -> next_zero,701,940,0.7457446808510638,0.3894444444444444,0.7457446808510638,0.2988372093023256,940,860,239,257,603
0.1,current_zero,next_nonzero,current_zero -> next_nonzero,239,940,0.2542553191489362,0.13277777777777777,0.7457446808510638,0.2988372093023256,940,860,239,257,603
0.1,current_nonzero,next_zero,current_nonzero -> next_zero,257,860,0.2988372093023256,0.14277777777777778,0.7457446808510638,0.2988372093023256,940,860,239,257,603
0.1,current_nonzero,next_nonzero,current_nonzero -> next_nonzero,603,860,0.7011627906976744,0.335,0.7457446808510638,0.2988372093023256,940,860,239,257,603
