feature_set,model,split,pr_auc,roc_auc,recall,precision,f1,accuracy,tn,fp,fn,tp,n_rows,positive_rate
canopy_only,Logistic Regression,validation,0.6243711568082506,0.667400660594535,0.7864077669902912,0.5955882352941176,0.6778242677824268,0.615,42,55,22,81,200,0.515
canopy_only,Logistic Regression,test,0.8134724490243929,0.6863410221619177,0.7985074626865671,0.6993464052287581,0.7456445993031359,0.635,20,46,27,107,200,0.67
canopy_only,SVM,validation,0.7930288696856906,0.7675908317485737,0.0,0.0,0.0,0.485,97,0,103,0,200,0.515
canopy_only,SVM,test,0.8866272808552881,0.7606286748077793,0.0,0.0,0.0,0.33,66,0,134,0,200,0.67
canopy_only,Random Forest,validation,0.7797764545875483,0.7511760584526074,0.6116504854368932,0.75,0.6737967914438503,0.695,76,21,40,63,200,0.515
canopy_only,Random Forest,test,0.8973625711126626,0.7907055630936227,0.5895522388059702,0.9080459770114943,0.7149321266968326,0.685,58,8,55,79,200,0.67
canopy_only,XGBoost,validation,0.7695162765693454,0.7459213291962767,0.6699029126213593,0.696969696969697,0.6831683168316832,0.68,67,30,34,69,200,0.515
canopy_only,XGBoost,test,0.8726195325249292,0.7420850293984622,0.5895522388059702,0.8681318681318682,0.7022222222222222,0.665,54,12,55,79,200,0.67
canopy_only,LightGBM,validation,0.763934009747103,0.7357621859673706,0.5922330097087378,0.6853932584269663,0.6354166666666666,0.65,69,28,42,61,200,0.515
canopy_only,LightGBM,test,0.8834960300128065,0.7721619176843059,0.5895522388059702,0.8586956521739131,0.6991150442477876,0.66,53,13,55,79,200,0.67
oisst_only,Logistic Regression,validation,0.6518590565629411,0.6643479131218096,0.5728155339805825,0.6629213483146067,0.6145833333333334,0.63,67,30,44,59,200,0.515
oisst_only,Logistic Regression,test,0.7141019005558481,0.5197874265038445,0.26119402985074625,0.7142857142857143,0.3825136612021858,0.435,52,14,99,35,200,0.67
oisst_only,SVM,validation,0.7450529310895969,0.680862776498849,0.36893203883495146,0.7916666666666666,0.5033112582781457,0.625,87,10,65,38,200,0.515
oisst_only,SVM,test,0.7412263285153959,0.5102894617819991,0.09701492537313433,0.9285714285714286,0.17567567567567569,0.39,65,1,121,13,200,0.67
oisst_only,Random Forest,validation,0.6693704004545593,0.6404263837453708,0.49514563106796117,0.6219512195121951,0.5513513513513514,0.585,66,31,52,51,200,0.515
oisst_only,Random Forest,test,0.7043859037607086,0.5076888285843509,0.291044776119403,0.7090909090909091,0.4126984126984127,0.445,50,16,95,39,200,0.67
oisst_only,XGBoost,validation,0.6812557836347549,0.634220798718847,0.7281553398058253,0.5769230769230769,0.6437768240343348,0.585,42,55,28,75,200,0.515
oisst_only,XGBoost,test,0.7182896444345532,0.5091587516960651,0.44776119402985076,0.7228915662650602,0.5529953917050692,0.515,43,23,74,60,200,0.67
oisst_only,LightGBM,validation,0.5833893429983533,0.541036933239916,0.5145631067961165,0.5047619047619047,0.5096153846153846,0.49,45,52,50,53,200,0.515
oisst_only,LightGBM,test,0.6735824616294275,0.4562415196743555,0.3208955223880597,0.6825396825396826,0.4365482233502538,0.445,46,20,91,43,200,0.67
canopy_noaa,Logistic Regression,validation,0.6979608204120256,0.6916224602141928,0.9805825242718447,0.5580110497237569,0.7112676056338029,0.59,17,80,2,101,200,0.515
canopy_noaa,Logistic Regression,test,0.7823845480849092,0.6296924468566261,0.6268656716417911,0.7636363636363637,0.6885245901639344,0.62,40,26,50,84,200,0.67
canopy_noaa,SVM,validation,0.5352870656454725,0.4881393253928535,0.47572815533980584,0.5697674418604651,0.5185185185185185,0.545,60,37,54,49,200,0.515
canopy_noaa,SVM,test,0.8459373329066522,0.714947987336047,0.2462686567164179,0.868421052631579,0.38372093023255816,0.47,61,5,101,33,200,0.67
canopy_noaa,Random Forest,validation,0.6336929465713099,0.5632068861975779,0.30097087378640774,0.5344827586206896,0.38509316770186336,0.505,70,27,72,31,200,0.515
canopy_noaa,Random Forest,test,0.8306530758016963,0.674468566259611,0.27611940298507465,0.925,0.42528735632183906,0.5,63,3,97,37,200,0.67
canopy_noaa,XGBoost,validation,0.630446494925821,0.5642077870083075,0.4077669902912621,0.5185185185185185,0.45652173913043476,0.5,58,39,61,42,200,0.515
canopy_noaa,XGBoost,test,0.8218494005035681,0.6640660334690185,0.5223880597014925,0.875,0.6542056074766355,0.63,56,10,64,70,200,0.67
canopy_noaa,LightGBM,validation,0.603974924409759,0.5331798618756881,0.42718446601941745,0.55,0.4808743169398907,0.525,61,36,59,44,200,0.515
canopy_noaa,LightGBM,test,0.8155294953487338,0.6534373586612392,0.3805970149253731,0.8947368421052632,0.5340314136125655,0.555,60,6,83,51,200,0.67
