feature_set,feature,is_leakage_variable,interpretation
canopy_only,relative_canopy,False,allowed current-year or lagged predictor
canopy_only,kelp_area_m2,False,allowed current-year or lagged predictor
canopy_only,count_cells_kelp,False,allowed current-year or lagged predictor
canopy_only,count_cells_no_clouds,False,allowed current-year or lagged predictor
canopy_only,count_cells_historic_footprint,False,allowed current-year or lagged predictor
canopy_only,historical_footprint_area_m2,False,allowed current-year or lagged predictor
canopy_only,lag1_relative_canopy,False,allowed current-year or lagged predictor
canopy_only,relative_canopy_change_lag1,False,allowed current-year or lagged predictor
oisst_only,annual_mean_sst,False,allowed current-year or lagged predictor
oisst_only,annual_max_sst,False,allowed current-year or lagged predictor
oisst_only,annual_min_sst,False,allowed current-year or lagged predictor
oisst_only,annual_sst_std,False,allowed current-year or lagged predictor
oisst_only,annual_mean_sst_anomaly,False,allowed current-year or lagged predictor
oisst_only,annual_max_sst_anomaly,False,allowed current-year or lagged predictor
oisst_only,hot_days_p90,False,allowed current-year or lagged predictor
oisst_only,hot_days_p95,False,allowed current-year or lagged predictor
oisst_only,lag1_annual_mean_sst_anomaly,False,allowed current-year or lagged predictor
oisst_only,lag1_hot_days_p90,False,allowed current-year or lagged predictor
canopy_noaa,relative_canopy,False,allowed current-year or lagged predictor
canopy_noaa,kelp_area_m2,False,allowed current-year or lagged predictor
canopy_noaa,count_cells_kelp,False,allowed current-year or lagged predictor
canopy_noaa,count_cells_no_clouds,False,allowed current-year or lagged predictor
canopy_noaa,count_cells_historic_footprint,False,allowed current-year or lagged predictor
canopy_noaa,historical_footprint_area_m2,False,allowed current-year or lagged predictor
canopy_noaa,lag1_relative_canopy,False,allowed current-year or lagged predictor
canopy_noaa,relative_canopy_change_lag1,False,allowed current-year or lagged predictor
canopy_noaa,annual_mean_sst,False,allowed current-year or lagged predictor
canopy_noaa,annual_max_sst,False,allowed current-year or lagged predictor
canopy_noaa,annual_min_sst,False,allowed current-year or lagged predictor
canopy_noaa,annual_sst_std,False,allowed current-year or lagged predictor
canopy_noaa,annual_mean_sst_anomaly,False,allowed current-year or lagged predictor
canopy_noaa,annual_max_sst_anomaly,False,allowed current-year or lagged predictor
canopy_noaa,hot_days_p90,False,allowed current-year or lagged predictor
canopy_noaa,hot_days_p95,False,allowed current-year or lagged predictor
canopy_noaa,lag1_annual_mean_sst_anomaly,False,allowed current-year or lagged predictor
canopy_noaa,lag1_hot_days_p90,False,allowed current-year or lagged predictor
canopy_noaa,annual_mean_cuti,False,allowed current-year or lagged predictor
canopy_noaa,spring_mean_cuti,False,allowed current-year or lagged predictor
canopy_noaa,summer_mean_cuti,False,allowed current-year or lagged predictor
canopy_noaa,cuti_anomaly,False,allowed current-year or lagged predictor
canopy_noaa,lag1_cuti_anomaly,False,allowed current-year or lagged predictor
canopy_noaa,annual_mean_beuti,False,allowed current-year or lagged predictor
canopy_noaa,spring_mean_beuti,False,allowed current-year or lagged predictor
canopy_noaa,summer_mean_beuti,False,allowed current-year or lagged predictor
canopy_noaa,beuti_anomaly,False,allowed current-year or lagged predictor
canopy_noaa,lag1_beuti_anomaly,False,allowed current-year or lagged predictor
canopy_noaa,region_group,False,allowed current-year or lagged predictor
canopy_noaa,center_lat,False,allowed current-year or lagged predictor
canopy_noaa,center_lon,False,allowed current-year or lagged predictor
