evaluation_context,target,oisst_matching_variant,feature_set,model_family,model_variant,n_observations,n_positive_events,event_prevalence,precision,recall,f1,f2,pr_auc,roc_auc,false_positives,false_negatives,true_positives,true_negatives
full_sample,decline_event_next,3x3,environment_only,Logistic Regression,cost_sensitive,200,134,0.67,0.6582278481012658,0.3880597014925373,0.48826291079812206,0.42276422764227645,0.7109433955424496,0.4766508367254636,27,82,52,39
full_sample,decline_event_next,3x3,environment_only,SVM,cost_sensitive,200,134,0.67,1.0,0.03731343283582089,0.07194244604316546,0.04621072088724584,0.806001580983382,0.6520239710538219,0,129,5,66
full_sample,decline_event_next,3x3,environment_only,Random Forest,cost_sensitive,200,134,0.67,0.5,0.029850746268656716,0.056338028169014086,0.03676470588235294,0.6716589721185957,0.49135006784260515,4,130,4,62
full_sample,decline_event_next,3x3,environment_only,XGBoost,cost_sensitive,200,134,0.67,0.7575757575757576,0.1865671641791045,0.2994011976047904,0.21968365553602812,0.6805463410245098,0.4745590230664858,8,109,25,58
full_sample,decline_event_next,3x3,environment_only,LightGBM,cost_sensitive,200,134,0.67,0.6666666666666666,0.05970149253731343,0.1095890410958904,0.072992700729927,0.6638935540642126,0.46619176843057436,4,126,8,62
full_sample,decline_event_next,3x3,canopy_current_plus_environment,Logistic Regression,cost_sensitive,200,134,0.67,0.6947368421052632,0.4925373134328358,0.5764192139737991,0.5229793977812995,0.7428141121477514,0.5295115332428765,29,68,66,37
full_sample,decline_event_next,3x3,canopy_current_plus_environment,SVM,cost_sensitive,200,134,0.67,0.9333333333333333,0.1044776119402985,0.18791946308724833,0.12704174228675136,0.8322821925483953,0.6900723654454997,1,120,14,65
full_sample,decline_event_next,3x3,canopy_current_plus_environment,Random Forest,cost_sensitive,200,134,0.67,0.9411764705882353,0.11940298507462686,0.2119205298013245,0.14466546112115733,0.7923931423672226,0.6222297602894618,1,118,16,65
full_sample,decline_event_next,3x3,canopy_current_plus_environment,XGBoost,cost_sensitive,200,134,0.67,0.8333333333333334,0.26119402985074625,0.3977272727272727,0.3027681660899654,0.7863284315435299,0.6089439167797377,7,99,35,59
full_sample,decline_event_next,3x3,canopy_current_plus_environment,LightGBM,cost_sensitive,200,134,0.67,0.7741935483870968,0.1791044776119403,0.2909090909090909,0.21164021164021163,0.790882742080854,0.6584124830393487,7,110,24,59
